tempo,MFCC,harmonic_element,rating
-54.0305093158,103.359375,-2.07655534723e-06,0
-114.235860226,103.359375,-3.15275116236e-07,0
-138.415514551,95.703125,-7.48931654471e-07,2
-126.5955777,103.359375,8.74392135302e-05,0
-180.654056574,117.453835227,4.70879172099e-07,2
-101.654381276,95.703125,-4.365e-06,0
-204.082661856,112.347146739,9.01107100049e-08,2
-72.8853915575,107.666015625,-9.71758800006e-06,0
-63.9730046072,117.453835227,-5.1378749049e-05,0
-161.871324732,107.666015625,-2.15041456864e-10,2
-131.888548314,161.499023438,-2.274e-06,2
-142.204042516,151.999080882,-1.42304488193e-08,2
-112.124144924,92.28515625,-3.59804971595e-07,0
-97.3672120383,92.28515625,-2.27459759117e-06,0
-165.44980059,103.359375,-1.32310851768e-05,2
-157.04713275,123.046875,-2.65297881441e-08,2
-115.309281521,123.046875,2.1775690584e-07,0
-136.478540342,117.453835227,3.86656793125e-05,2
-227.760018793,135.999177632,-3.26861950839e-08,2
-124.274590196,135.999177632,-3.25946734847e-06,0
-131.944772339,86.1328125,-2.9237507988e-06,2
-156.415104835,123.046875,-4.36197467479e-07,2
-131.157976955,103.359375,-4.24307700087e-06,0
-116.849689728,99.3840144231,-7.96496578914e-07,0
-88.0850006892,112.347146739,-4.62111870547e-07,0
-56.5027247138,107.666015625,1.15958050628e-06,0
-136.361573044,92.28515625,-1.50823723288e-07,2
-162.859195347,95.703125,7.00632597272e-07,2
-74.1250796478,112.347146739,-2.36937830778e-05,0
-71.7942602297,172.265625,-9.6181729532e-06,0
-94.2672291654,135.999177632,9.4619623269e-05,0
-104.507102842,123.046875,-3.83994120057e-06,0
-167.361645526,161.499023438,-9.80726099442e-07,2
-181.568949257,123.046875,1.99804399017e-05,2
-141.951609779,92.28515625,1.36897526204e-07,2
-72.4192356165,172.265625,0.0028202168,0
-227.900066587,107.666015625,-2.20372512558e-05,2
-99.1619769554,92.28515625,-3.04427146602e-07,0
-109.72768686,129.19921875,1.40993624882e-05,0
-106.279368457,107.666015625,-1.28733381644e-06,0
-145.239368303,95.703125,-2.33e-07,2
-135.929451685,95.703125,-2.75568891084e-06,2
-191.682078748,129.19921875,-5.51403161353e-07,2
-151.985526427,107.666015625,-4.51977264504e-08,2
-170.012406527,95.703125,-3.24505185745e-06,2
-89.4785106341,112.347146739,8.20158675197e-06,0
-138.359870419,135.999177632,-1.073e-06,2
-176.411715644,143.5546875,-5.9e-08,2
-154.00285721,143.5546875,1.18070943245e-06,2
-166.033835682,135.999177632,4.39569447508e-07,2
-172.3310984,151.999080882,-2.62142361862e-06,2
-112.829088037,117.453835227,-3.52776538648e-07,0
-89.3126703736,117.453835227,-6.08450591244e-06,0
-84.8656843281,143.5546875,-0.0006502329,0
-7.5980848366,151.999080882,-4.06122126151e-06,0
-111.499312088,103.359375,-0.0019677903,0
-168.066527329,172.265625,6.03805119681e-07,2
-100.228309278,112.347146739,-5.666739753e-07,0
-53.0190765888,135.999177632,-1.53444648276e-06,0
-187.621071105,95.703125,-5.19730974702e-07,2
-92.7813811134,107.666015625,2.21325819894e-08,0
-94.6771208662,129.19921875,-6.55876419842e-07,0
-148.949668403,99.3840144231,5.3389982213e-07,2
-180.309225935,172.265625,7.79911545123e-07,2
-24.8130779148,143.5546875,2.06307504413e-06,0
-91.9134015077,117.453835227,-1.32546767873e-06,0
-208.904592555,107.666015625,-3.14848058736e-08,2
-123.121515791,129.19921875,3.70361021851e-07,0
-107.453843965,151.999080882,-2.75163358765e-07,0
-119.748809538,103.359375,-6.71426107601e-07,0
-196.251809242,161.499023438,-1.8758e-05,2
-143.906139122,92.28515625,-2.753e-06,2
-124.080202018,161.499023438,-2.16924405549e-07,0
-118.404803605,123.046875,2.73534096777e-05,0
-122.11016828,135.999177632,-2.4585126539e-06,0
-124.590303949,123.046875,-1.1868846741e-06,0
